	PolII sum gb	PolII sum promoter
ENSMUSG00000108449	3.680036814373254	2.309358293478412
ENSMUSG00000041797	4.027891763527672	2.584314259407982
ENSMUSG00000090622	3.1949008260788867	3.6206460774320015
ENSMUSG00000072969	3.695390897121544	3.9419613948802894
ENSMUSG00000100714	4.294087615053799	2.495797255454081
ENSMUSG00000094832	2.245736748719303	2.5295911743954496
ENSMUSG00000101713	1.86931954788666	-2.0
ENSMUSG00000100452	1.8644990171552285	1.698676611715844
ENSMUSG00000036862	4.078427815783964	3.1583634974053867
ENSMUSG00000090864	3.5620210975067104	2.5532027464307734
ENSMUSG00000078776	4.262435268149638	2.668473201730256
ENSMUSG00000009214	3.142946057557753	2.6193125105047432
ENSMUSG00000113433	3.494711025205263	2.669876669622529
ENSMUSG00000114197	2.141338337223396	2.5145481953659545
ENSMUSG00000035678	2.80963646687742	3.628294226497181
ENSMUSG00000102365	2.468903875083632	3.8327670708675776
ENSMUSG00000103625	3.635528648398416	3.672378980306966
ENSMUSG00000043289	4.954833712449982	3.9032421443589618
ENSMUSG00000060480	2.802003851936587	2.347951571110057
ENSMUSG00000044125	3.362783335585928	4.179915083145184
ENSMUSG00000107503	2.554748730350923	2.7910980889879298
ENSMUSG00000113539	2.663763725546204	2.5756949956190525
ENSMUSG00000096537	3.263431693039476	2.681107610948327
ENSMUSG00000049439	4.551164440886904	4.292038130844443
ENSMUSG00000015749	4.6592041466337655	4.485253290558481
ENSMUSG00000046805	2.922576516666368	2.448623883710289
ENSMUSG00000100914	2.026942444301273	1.9939444470337389
ENSMUSG00000033728	4.488234751057695	4.225757132339837
ENSMUSG00000078612	4.447451081224291	2.927127309158545
ENSMUSG00000100987	3.2531012438456264	2.6847858364896005
ENSMUSG00000063903	3.20439766137843	3.191870015444722
ENSMUSG00000031156	3.7509601962927768	3.7185623031785706
ENSMUSG00000040483	4.05351866407853	3.421039306185278
ENSMUSG00000116341	3.3632922515710817	2.5681383359222805
ENSMUSG00000118016	3.020336832174685	2.2089472906130267
ENSMUSG00000037649	4.989607309851284	4.85773061823185
ENSMUSG00000108545	4.213683297447003	2.481359488267671
ENSMUSG00000102332	3.217047675954676	2.2031939488329657
ENSMUSG00000034855	2.6492858436392908	3.2359902704007344
ENSMUSG00000086297	2.8669907004949664	2.9986671337247586
ENSMUSG00000073956	3.042777060203108	2.3752812665592686
ENSMUSG00000112057	3.274471906158594	3.373000938354684
ENSMUSG00000099463	1.5483566554086583	1.7676628655776396
ENSMUSG00000117473	4.245890043897342	2.3796571629468586
ENSMUSG00000063522	3.4945219185800305	2.9545031687400414
ENSMUSG00000102206	4.565767561190888	2.777546919503807
ENSMUSG00000026835	3.1298624373530024	2.60186125613835
ENSMUSG00000030616	4.31080231471888	3.019459157663478
ENSMUSG00000086729	3.047460879558876	2.7798967383924684
ENSMUSG00000050890	4.284904251407587	4.410304733894276
ENSMUSG00000097617	3.782301070244439	3.584876012580468
ENSMUSG00000034203	4.380288442757388	4.231829654079705
ENSMUSG00000042608	4.546218878267364	4.007614653593253
